trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.00299815767, 'e': 0.8155645374405145}",25,0,-19.501082337460637,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
69,False,"{'a': 0.00299815767, 'e': 0.8131230082408537}",25,0,-75.27280249474114,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
70,False,"{'a': 0.00299815767, 'e': 0.8106887881682566}",25,0,-134.41547825069762,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
71,False,"{'a': 0.00299815767, 'e': 0.8082618553416258}",20,0,-83.47710227853199,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
72,False,"{'a': 0.00299815767, 'e': 0.8058421879453683}",20,0,-104.38622987343328,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
73,False,"{'a': 0.00299815767, 'e': 0.8034297642292003}",25,0,-89.80957669109809,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.00299815767, 'e': 0.8010245625079506}",20,0,-38.44509558007047,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
75,False,"{'a': 0.00299815767, 'e': 0.7986265611613664}",25,0,-117.57340511982254,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
76,False,"{'a': 0.00299815767, 'e': 0.7962357386339188}",35,0,-170.8666184405441,"{0: 26, 1: 0, 2: 5, 3: 0, 4: 4}",0
77,False,"{'a': 0.00299815767, 'e': 0.7938520734346091}",25,0,-71.98493555791933,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
78,False,"{'a': 0.00299815767, 'e': 0.791475544136775}",30,0,-136.23302173446436,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
79,False,"{'a': 0.00299815767, 'e': 0.7891061293778991}",25,9,-14.63362367324746,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.00299815767, 'e': 0.786743807859416}",20,0,-108.74380438928908,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
81,False,"{'a': 0.00299815767, 'e': 0.7843885583465212}",25,0,-79.98380114553615,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
82,False,"{'a': 0.00299815767, 'e': 0.78204035966798}",20,0,-85.57639301239267,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
83,False,"{'a': 0.00299815767, 'e': 0.7796991907159376}",20,7,-91.719852651952,"{0: 7, 1: 1, 2: 2, 3: 2, 4: 1}",1
84,False,"{'a': 0.00299815767, 'e': 0.7773650304457288}",30,0,-155.5564805046292,"{0: 19, 1: 0, 2: 8, 3: 1, 4: 2}",0
85,False,"{'a': 0.00299815767, 'e': 0.7750378578756895}",30,8,-22.331910725834803,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 0}",1
86,False,"{'a': 0.00299815767, 'e': 0.7727176520869672}",25,0,-99.87644509400695,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
87,False,"{'a': 0.00299815767, 'e': 0.7704043922233341}",20,0,-2.86114306553203,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.00299815767, 'e': 0.7680980574909987}",20,0,-94.82278903899964,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
89,False,"{'a': 0.00299815767, 'e': 0.7657986271584191}",20,0,-45.584777719310615,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
90,False,"{'a': 0.00299815767, 'e': 0.7635060805561168}",25,0,-149.19748076006343,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
91,False,"{'a': 0.00299815767, 'e': 0.7612203970764913}",25,1,-62.2069033399361,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
